hypothesis_id,ev_id,prediction,rationale
H011,EV039,++,A ranging device that is not calibrated returns wrong ranges. The aperture series must be regular within an object and reproducible between objects if the training is to transfer between archers
H011,EV040,-,"Strong regional variation would mean each device reads differently, and no transferable ranging practice could exist"
H012,EV001,+,Held in one hand and worked with the other; hand-sized
H012,EV002,+,Mass steadies the frame against yarn tension while it is worked
H012,EV003,-,"The shell only has to carry the knobs. Yarn tension is trivial, so heavy walls buy nothing"
H012,EV004,++,"Each opening sets the bore of the tube worked over the knobs around it. A graded set of openings is a graded set of tube diameters, which is the functional point of the object"
H012,EV005,0,"Each face is worked on its own. NEUTRAL BECAUSE THE MECHANISM IS INDIFFERENT: no yarn passes from one face to its opposite, so what the opposite opening measures is irrelevant. This is the variable on which H001 and H011 lose heavily and H012 has no stake"
H012,EV006,+,The worked tube passes out through the opening; a clean profile avoids snagging
H012,EV007,++,A rounded or bevelled lip is essential where yarn is drawn over the edge under tension. A sharp rim would cut it
H012,EV008,++,Knob diameter and neck form ARE the working surface. Each must hold a loop and release it when lifted
H012,EV009,++,"The five knobs around a worked face must be uniform, or the stitches come out uneven"
H012,EV010,0,NEUTRAL BECAUSE THE MECHANISM IS INDIFFERENT: only the local pentagon being worked matters. Departure from overall regularity does not affect the work
H012,EV011,0,Alloy is not diagnostic for a tool under negligible load
H012,EV012,+,A snag-free working surface matters more than structural soundness
H012,EV013,0,"NEUTRAL BECAUSE THE MECHANISM IS INDIFFERENT: the two production holes are simply not worked. The commonest type has ten ringed openings plus one opposed unringed pair, which leaves exactly ten usable faces"
H012,EV014,+,Decoration is expected on a personal possession
H012,EV015,+,A working tool is repaired rather than replaced
H012,EV016,+,Finishing of the lips and knob necks to avoid snagging
H012,EV017,-,"NOTHING PASSES THROUGH THE BORE UNDER LOAD; the worked tube hangs free. Internal hole wear is not expected, and its absence counts in favour. THIS IS THE PREDICTION THAT SEPARATES H012 FROM H005, which predicts '++' here"
H012,EV018,+,Constant handling of the body of the tool
H012,EV019,0,"NEUTRAL BECAUSE THE TERMS DIFFER: EV019 records grooves or polish from rope. Fine yarn is not rope, and the surface it bears on is the knob, which is EV041"
H012,EV020,0,"The frame is turned in the hand as work proceeds round a face; there is no axle and no rotating contact, so no rotational wear pattern forms"
H012,EV021,0,Impact damage is not predicted by domestic use
H012,EV022,++,Yarn drawn repeatedly over and down the knob necks abrades them at the base
H012,EV023,--,"Nothing in cord work involves heat, flame or wax"
H012,EV024,+,Textile fibres should remain in the knob necks and against the lips
H012,EV042,-,"Microwear will show contact on the outer lip where yarn is drawn over the edge, and NOT inside the bore. NOTE: H001-H011 are deliberately silent on EV042 because they were specified before the variable existed. Their predictions for it MUST be authored before the microwear study is read, not afterwards"
H012,EV041,++,"THE CENTRAL PREDICTION OF THIS HYPOTHESIS. Years of yarn drawn over the knobs must leave polish, grooving or abrasion on the knobs and their necks. This is the variable that decides H012, and it did not exist in the evidence set before the hypothesis was written"
H012,EV025,+,"Specific expectation: domestic and settlement contexts, where cord work is done"
H012,EV026,+,A craft technique is culturally transmitted and may be confined to the region that practises it
H012,EV027,+,"Specific expectation: spindle whorls, loom weights, needles or other textile equipment"
H012,EV028,0,No particular stratigraphy follows from domestic use
H012,EV029,0,No narrow chronological window follows from the mechanism
H012,EV030,0,"A personal tool is lost singly, but a workshop could hold several"
H012,EV031,0,"Soldiers mend and make clothing, so a military presence neither supports nor contradicts"
H012,EV032,-,A working tool in temple deposits and rivers is not what the mechanism predicts
H012,EV033,0,Nothing is inserted; rod compatibility is irrelevant either way
H012,EV034,+,Yarn must pass over the knobs and out through the opening
H012,EV035,+,The frame must sit or be held steady while worked
H012,EV036,0,No load is transferred across the object
H012,EV037,0,Assembly into larger structures is no part of this hypothesis
H012,EV038,0,NEUTRAL BECAUSE THE MECHANISM IS INDIFFERENT: whichever face is being worked is turned downward for the moment; there is no fixed global orientation and none is required
H012,EV039,-,"A personal craft tool need not conform to any standard. The gauge wanted varies with the work and the worker, so variation between objects is what the mechanism predicts"
H012,EV040,+,Craft traditions and their tools vary by region
H013,EV001,+,Must be gripped and turned in the hand while the work advances
H013,EV002,+,Mass gives the turning tool inertia and helps hold steady tension
H013,EV003,-,Strand tension in hand-laid cord is modest; heavy walls buy nothing
H013,EV004,++,"Each aperture suits a different core and finished-rope diameter. A graded set of apertures is a graded set of cord gauges, which is the functional point of the object"
H013,EV005,0,"NEUTRAL BECAUSE THE MECHANISM IS INDIFFERENT: only one aperture is in use at a time and the core does not continue to the opposite face, so what the opposite aperture measures is irrelevant"
H013,EV006,++,"The core runs through the aperture under tension while the object turns; a clean, true profile is required or the core binds and chafes"
H013,EV007,++,"The rim must be rounded, because the core bears against it continuously and a sharp edge would cut the fibre"
H013,EV008,++,"THE KNOBS ARE THE STRAND GUIDES. Their diameter and spacing set the angle at which each strand meets the core, which is what determines the lay of the finished rope"
H013,EV009,++,"The five knobs around the working aperture must be uniform and regularly placed, or the strands are laid at unequal angles and the rope is uneven"
H013,EV010,+,Even strand spacing requires a regular pentagon around the working face
H013,EV011,0,Alloy is not diagnostic for a tool under fibre tension
H013,EV012,+,A smooth surface is needed so the fibre is not abraded as it runs
H013,EV013,0,NEUTRAL BECAUSE THE MECHANISM IS INDIFFERENT: the two production holes are simply not chosen as the working aperture
H013,EV014,+,Decoration is expected on a personal working tool
H013,EV015,+,A tool in continuous use is repaired rather than replaced
H013,EV016,+,Finishing of the rim and knobs so that fibre does not snag
H013,EV017,++,THE DECISIVE PREDICTION. A tensioned core passes through the aperture while the object is turned against it. Bore wear is unavoidable and should be circumferential. THIS IS WHERE H013 AND H012 SEPARATE: H012 predicts '-' here because nothing passes through its bore
H013,EV018,+,Constant handling of the body of the tool
H013,EV019,++,"Every strand bears on a knob and on the aperture rim under tension throughout the work. If any hypothesis predicts rope wear, this one does"
H013,EV020,++,The object is turned repeatedly under load and the contact between cord and object is rotational by construction
H013,EV021,0,Impact damage is not predicted by workshop use
H013,EV022,++,Fibre running under tension abrades the knobs and the aperture rim
H013,EV023,--,"Nothing in cord laying involves heat, flame or wax"
H013,EV024,+,Fibre traces should remain against the rim and in the knob necks
H013,EV041,++,Strands are guided by the knobs under tension throughout; knob wear is predicted as strongly here as by H012
H013,EV042,+,"Microwear should show contact INSIDE the bore, and circumferentially. This is the exact opposite of H012's prediction, which is why the pre-registered prediction P-0004 discriminates between them"
H013,EV025,+,"Specific expectation: settlement, domestic and workshop contexts, where cordage is made"
H013,EV026,+,A craft technique is culturally transmitted and may be confined to the region that practises it
H013,EV027,+,"Specific expectation: fibre-processing equipment, spindle whorls, raw fibre, or finished cordage"
H013,EV028,0,No particular stratigraphy follows from workshop use
H013,EV029,0,Cordage is made in every period; no narrow window is predicted
H013,EV030,0,"A personal tool is lost singly, but a workshop could hold several"
H013,EV031,0,"Rope is needed by armies and civilians alike, so a military presence neither supports nor contradicts"
H013,EV032,-,A working tool in temple deposits and rivers is not what the mechanism predicts
H013,EV033,0,Nothing rigid is inserted; rod compatibility is irrelevant either way
H013,EV034,++,A core routed through an aperture and strands routed over the knobs is entirely a claim about cord routing
H013,EV035,+,The body must hold its form against the combined pull of the strands
H013,EV036,0,No structural load is transferred across the object
H013,EV037,0,Assembly into larger structures is no part of this hypothesis
H013,EV038,+,"There is a working axis while the tool is in use - the core through the chosen aperture, about which the object turns - though which aperture provides it is free"
H013,EV039,-,A personal craft tool need not conform to any standard; the gauge wanted varies with the work
H013,EV040,+,Craft traditions and their tools vary by region
H014,EV001,+,Held in one hand while wax is pressed with the other; hand-sized
H014,EV002,+,Mass steadies the tool against the pressing force
H014,EV003,-,The shell contains soft wax and carries no structural load; thin walls are sufficient and expected
H014,EV004,++,"Graded apertures take cords of differing thickness, which is the functional claim of the hypothesis (PUB-0041)"
H014,EV005,0,"NEUTRAL: the cord is knotted within the object rather than drawn through an axis, and the source does not specify that it exits an opposite face"
H014,EV006,+,A clean aperture lets the cord seat and the formed piece release
H014,EV007,+,A rounded lip releases wax cleanly and does not cut the cord
H014,EV008,++,THE KNOBS ARE THE SPACERS that limit compression and set the thickness of the formed piece. This is the mechanism's explicit claim (PUB-0041) and it is the only hypothesis in the set that assigns the knobs a primary working role rather than a protective or decorative one
H014,EV009,++,"Spacers must be uniform, or the thickness of the formed piece varies around its perimeter"
H014,EV010,+,A regular body gives a consistent formed shape
H014,EV011,0,Alloy is not diagnostic for working soft wax
H014,EV012,+,A smooth surface releases wax without tearing it
H014,EV013,0,NEUTRAL: a face carrying casting flaws is simply not used as the working face
H014,EV014,++,"Decoration around the aperture would IMPRESS ITSELF ON THE WAX. On this hypothesis the concentric rings are not ornament at all but the device that marks the sealing, which is what a bulla is for"
H014,EV015,+,A working tool is repaired rather than replaced
H014,EV016,++,"The engraved rings are the marking surface, and engraving them after casting is exactly the secondary working EV016 records"
H014,EV017,-,Wax is soft and the cord is knotted rather than drawn under tension. No bore wear is predicted and its absence counts in favour
H014,EV018,+,Constant handling of the body of the tool
H014,EV019,0,"NEUTRAL: cords are knotted in place, not routed under tension"
H014,EV020,0,Nothing in the mechanism rotates
H014,EV021,0,Impact damage is not predicted by desk use
H014,EV022,0,Wax is softer than bronze and does not abrade it
H014,EV023,-,"Wax is worked soft, not melted in the object. Thermal alteration would count AGAINST the hypothesis, which is what distinguishes it from H004"
H014,EV024,++,THE DECISIVE PREDICTION. Beeswax and resin worked in the object should leave recoverable residue on the interior and around the apertures. EV024 has never been measured
H014,EV025,++,"Specific expectation: urban, administrative and commercial contexts, matching the distribution of seal boxes (PUB-0041)"
H014,EV026,+,"Seal boxes are themselves concentrated in Britain and the north-western provinces, so regional confinement is what the hypothesis predicts. NOTE THIS IS UNUSUAL: every other utilitarian hypothesis is damaged by the restricted distribution, and this one expects it"
H014,EV027,++,"Specific expectation: seal boxes, styli, writing tablets, document fittings or other administrative equipment"
H014,EV028,0,No particular stratigraphy follows
H014,EV029,0,Sealing practice spans the imperial period
H014,EV030,0,An office might hold one or several
H014,EV031,0,"Seal boxes occur in administrative AND military contexts, so a military presence neither supports nor contradicts"
H014,EV032,-,"A desk tool in temple deposits, graves and rivers is not predicted"
H014,EV033,0,Nothing rigid is inserted
H014,EV034,+,Cords must pass into the object and be knotted within it
H014,EV035,+,The body must not deform under the pressing force
H014,EV036,0,No structural load is transferred across the object
H014,EV037,0,Assembly into larger structures is no part of this hypothesis
H014,EV038,+,"A working face is chosen and presented upward while wax is pressed, though which face is free"
H014,EV039,+,"Bullae are described by the hypothesis as standardised, so some consistency between tools is expected. THIS IS THE HYPOTHESIS'S WEAKEST POINT and it is not negotiable: the corpus is not standardised"
H014,EV040,+,Regional workshops producing an administrative accessory would vary
H014,EV041,0,"The knobs are pressed into soft wax, not drawn over by cord under tension; no knob wear is predicted either way"
H014,EV042,-,Microwear should show no bore contact
