observation_id,rd_id,ev_id,observed_value,confidence,source_id,page,figure,extraction_date,notes
152,RD-0007,EV025,First recorded dodecahedron; presented to the Society of Antiquaries of London in 1739; Guggenberger catalogue no 59,C,PUB-0003,32,fig 1,2026-08-07,Confirms the batch-001 archival record (PUB-0007) and supplies the catalogue number
153,RD-0015,EV025,"PUB-0003 lists a Bassenge (Belgium) dodecahedron, Guggenberger no 2, as one of three specimens from richly furnished graves",C,PUB-0003,35,,2026-08-07,"POSSIBLE IDENTITY, NOT ASSERTED: RD-0015 is recorded by PUB-0011 as from 'Couthuin or Bassenge, Liege province'. Guggenberger no 2 may be the same object, which would give RD-0015 a grave context. The identification is not made by either source and is left unresolved; RD-0015 context_category therefore remains Unknown"
154,RD-0020,EV028,Deposition of the stratified Jublains dodecahedron took place in the first half of the 3rd century,B,PUB-0003,32,,2026-08-07,"PUB-0003 n 13, citing Guillier et al 2008, 284. Corroborates the batch-001 record and supplies Guggenberger no 98"
155,RD-0020,EV001,"Height 59 mm as it stands, but only 48-52 mm from face to opposite face; maximum diameter 74 mm; twelve pentagonal faces of 21 mm edge",A,PUB-0010,para 48,fig 11,2026-08-07,The 48-52 mm spread across face-to-face axes is itself a measure of the object's departure from a regular dodecahedron
156,RD-0020,EV002,81 g,A,PUB-0010,para 48,fig 11,2026-08-07,"Lightest complete specimen in the database; compare 246 g (RD-0022), 247 g (RD-0001), 245 g (RD-0005), 553 g (RD-0017)"
157,RD-0020,EV004,Ten faces have circular openings varying from 10.5 to 22 mm; the two remaining faces have oval openings of 21x26 mm,A,PUB-0010,para 48,fig 11,2026-08-07,"Per-face diameters are not tabulated in the report; the drawing (fig 12) is a Duval rabattement from which PUB-0019 later read values, recorded separately below at lower confidence"
158,RD-0020,EV005,"The two faces without concentric circles, which carry the oval openings, are placed in opposition on the object, possibly materialising a 'top' and a 'bottom'",A,PUB-0010,para 48,fig 11,2026-08-07,"The excavators' phrase is 'y materialisant eventuellement un haut et un bas' - a hedged suggestion, not an assertion. Relevant to EV038"
159,RD-0020,EV006,Ten openings circular; two openings oval (21x26 mm),A,PUB-0010,para 48,fig 11,2026-08-07,"CONFLICTS WITH NOTHING, but note that PUB-0003, 32 explains the irregular opposed pair across the corpus as production holes"
160,RD-0020,EV008,Each vertex carries a small ball about 5-6 mm in diameter,A,PUB-0010,para 48,fig 11,2026-08-07,
161,RD-0020,EV011,"Copper alloy, described by the excavators as 'bronze?' with the query retained",A,PUB-0010,para 41,,2026-08-07,No analysis was performed; the query is the excavators' own
162,RD-0020,EV012,Appears to have been cast by the lost-wax process and then carefully trued up ('coule a la cire perdue puis soigneusement rectifie'),A,PUB-0010,para 48,,2026-08-07,Direct support for post-casting finishing; see EV016
163,RD-0020,EV014,Ten of the twelve faces have their opening underlined by concentric circles engraved in the metal; the other two faces have none,A,PUB-0010,para 48,fig 11,2026-08-07,
164,RD-0020,EV015,Intact apart from a barely visible crack on one edge,A,PUB-0010,para 48,,2026-08-07,"No repair present; recorded because it establishes that the object was complete when deposited, in a burnt destruction layer"
165,RD-0020,EV016,The vertex balls are soldered to the body of the dodecahedron itself ('soudee au corps meme du dodecaedre'),A,PUB-0010,para 48,,2026-08-07,"CONFLICT: RD-0014 is recorded by PUB-0006 as cast in one piece. Both readings preserved. If knobs were separately made and attached on this specimen, the manufacturing sequence is more complex than single-pour casting and the knobs are a deliberate addition"
166,RD-0020,EV025,"Recovered from destruction layer F1058 of a small drystone building over an excavated cellar, on ancient Street 8 at the junction of Cardo A and Decumanus 8, in the shadow of a large public building (the thermae); the building burned at the turn of the 2nd and 3rd centuries",A,PUB-0010,"paras 41, 60-61",,2026-08-07,"CORRECTS THE BATCH-001 RECORD, which read this as a baths context because the excavation lay at the edge of the thermae. The building is a separate structure across the street. The excavators state the position was ideal for a commercial establishment. THIS IS THE ONLY SEALED, DATED, STRATIFIED DODECAHEDRON CONTEXT KNOWN"
167,RD-0020,EV027,"Found in the same destruction layer as a complete trebuchet (precision balance): beam 225 mm long weighing 20 g, with two tortoise-shell-shaped pans of 59x52x16 mm (12 g) and 49x54x17 mm (11 g), each pierced with three 2 mm holes; the complete pan holds 20 cubic cm level and 36 heaped. The accompanying pottery has a higher proportion of closed vessels and fewer kitchen vessels than contemporary assemblages",A,PUB-0010,"paras 42-47, 60",fig 10,2026-08-07,"THE STRONGEST ASSOCIATED-FIND RECORD IN THE DATABASE. The excavators note the balance served to check the alloy of a coin or to weigh precious materials, with a capacity not exceeding one Roman pound (327.45 g). Their reading of the assemblage as either a merchant's or craftsman's shop or the den of a diviner, and their remark that the two are not incompatible, is INTERPRETATION and is recorded in evidence_register"
168,RD-0020,EV029,The building was occupied during the first half of the 3rd century and destroyed by fire at the turn of the 2nd and 3rd centuries; the object is judged to have been in use during the first half of the 3rd century,A,PUB-0010,"paras 54, 60",,2026-08-07,"A coin of Nero beneath the earliest road make-up dates the street grid to the early Flavian period, and a coin of Tetricus attests later activity; the dodecahedron itself is dated by the destruction layer"
169,RD-0020,EV031,No military association: an urban commercial building in a civitas capital,A,PUB-0010,paras 60-62,,2026-08-07,
170,RD-0020,EV004,"Opposite-hole pairs read off the fig 12 rabattement: (1,1') elliptic 26x21.5 and 25.5x21.5 mm; (6',2) 22 and 21.5 mm; (5',3) 17 and 16.5 mm; (4',4) 22 and 21 mm; (3',5) 15.5 and 11.5 mm; (2',6) 10.5 and 17 mm",D,PUB-0019,tab I,fig A1,2026-08-07,"SECOND-HAND AND LOWER CONFIDENCE: values read by PUB-0019 from PUB-0010 fig 12, not measured. Recorded separately from the A-grade row above and deliberately not merged with it"
171,RD-0020,EV005,"Within-pair differences of the six opposite pairs: 0.5, 0.5, 0.5, 1.0, 4.0 and 6.5 mm",D,PUB-0019,tab I,,2026-08-07,"Derived by PUB-0019 from its own tab I readings. Four pairs are nearly equal and two differ greatly - the mixed pattern PUB-0003, 31 n 1 describes for the corpus"
172,RD-0020,EV014,Each pair of opposite holes carries the same decoration; the decoration is composed of three circles,D,PUB-0019,9,fig 2,2026-08-07,PUB-0019 suggests this could be a mnemonic code for calculations; that suggestion is INTERPRETATION and is recorded separately
173,RD-0034,EV004,"Twelve measured hole diameters in mm: 26.5, 15.4, 18.3, 13.4, 10.4, 17.6, 24.2, 20.15, 8.7, 14.5, 20.6, 14.2",C,PUB-0019,Appendix B tab B1,,2026-08-07,"Measured by the Musee romain d'Avenches (PUB-0040) to 0.01 mm and reproduced in PUB-0019. The only complete twelve-hole dataset in the database. Range 8.7-26.5 mm, a factor of 3.0 within a single object"
174,RD-0034,EV005,"Opposite-hole pairs and their differences: (1,1') 26.5/24.2 = 2.3 mm; (2,2') 15.4/20.15 = 4.75 mm; (3,3') 18.3/8.7 = 9.6 mm; (4,4') 13.4/14.5 = 1.1 mm; (5,5') 10.4/20.6 = 10.2 mm; (6,6') 17.6/14.2 = 3.4 mm",C,PUB-0019,Appendix B tab B1,,2026-08-07,"Differences computed here from the source's measured diameters; the arithmetic is derived, the diameters are observed. No pair is equal and two differ by more than 9 mm, so no single straight rod could pass through those axes"
175,RD-0034,EV006,"Four holes are recorded with two differing diameters, indicating departure from circularity: hole 1 26.46/26.62, hole 6 17.38/17.85, hole 2' 19.9/20.43, hole 4' 14.27/14.68 and hole 5' 20.4/20.83; hole 1' (24.16/25.08) is described as probably elliptic",C,PUB-0019,Appendix B tab B1,,2026-08-07,Direct evidence that holes are not perfectly circular even on a well-made specimen
176,RD-0034,EV012,The measured tolerance of the hole diameters is below 0.2 mm,C,PUB-0019,Appendix B,,2026-08-07,"The source's own assessment of the maker's tolerance. This is the best available evidence of manufacturing precision and it sits alongside the corpus statement that many British specimens are less skilfully made (PUB-0003, 32)"
177,RD-0034,EV025,Aventicum (Avenches); find context not stated in the available source,C,PUB-0019,3.2,,2026-08-07,
178,RD-0035,EV001,"External diameter of the object, excluding the knobs, is 55 mm",B,PUB-0017,200,fig 4,2026-08-07,
179,RD-0035,EV004,"The twelve hole diameters vary from 13.5 to 24 mm; several are repeated: 22 mm three times (faces 2, 3', 5'), 20 mm twice (faces 4, 6) and 14 mm twice (faces 4', 6')",B,PUB-0017,200,fig 3,2026-08-07,"Per-face values for the remaining holes appear on fig 3, which is not legible in the available scan, and are therefore not recorded"
180,RD-0035,EV005,"In two cases the diameters of opposed openings are equal: 20 mm (faces 4 and 4') and 14 mm (faces 6 and 6'). Beyond these coincidences there is no evident regularity in the general distribution of the openings, either in their juxtaposition or in their opposition",B,PUB-0017,200,fig 3,2026-08-07,"KEY OBSERVATION FOR EV005 AND EV039. Duval, who devised the comparative recording method precisely in order to look for such regularity, states that none is evident. He also states explicitly that no conclusion can be drawn from a single specimen"
181,RD-0035,EV014,"There is no regularity in the distribution of the engraved concentric fillets relative to the openings they surround; the only pattern is that they become more numerous as the hole diameter decreases, leaving more room: 4 and 6 fillets for the 14 mm holes, 3 for the 22 mm holes, none for the 23 and 24 mm holes",B,PUB-0017,200,fig 3,2026-08-07,"Duval suggests the reason is probably empirical, ie available space rather than meaning"
182,RD-0035,EV017,"The two largest opposed openings (23 and 24 mm) have a periphery that appears less regularly cut than the others, as if they had been worn by some friction, due for example to a stick that passed through both of them simultaneously",C,PUB-0017,200,fig 3,2026-08-07,"CONFLICTS DIRECTLY WITH THE CORPUS-LEVEL RECORD. PUB-0003, 45 states that the surfaces of dodecahedra generally do not look worn, and PUB-0003, 32 explains exactly this feature - an opposed pair of larger, less regular openings without concentric circles - as production holes arising from the casting process, present in about 70 per cent of specimens. BOTH READINGS ARE PRESERVED. Duval's wording is hedged throughout ('parait', 'comme s'ils avaient ete uses'), it is an appearance on one specimen, and he states that no conclusion can be drawn from it. Confidence C rather than B for that reason. This conflict is the reason EV017 is scored at confidence C at corpus level rather than B"
183,RD-0035,EV025,Collection piece with no known archaeological context,B,PUB-0017,198,,2026-08-07,
184,RD-0036,EV005,"Six opposite-hole pairs in mm: 20.1/20.3, 13.2/13.7, 21.4/22.4, 25/26.5, 15.3/17.3, 13/10.5; face-to-face distance 40 mm",D,PUB-0019,tab III,,2026-08-07,"Within-pair differences 0.2, 0.5, 1.0, 1.5, 2.0 and 2.5 mm. Values reach this project at two removes (PUB-0039 via PUB-0038 via PUB-0019) and no tolerance is stated by any of them"
185,RD-0006,EV005,"Six opposite-hole pairs in mm: 16/16.2, 7.5/8.5, 10.5/12.5, 20/22.5, 12.5/15.5, 16.5/12.5; face-to-face distance 63 mm",D,PUB-0019,tab IV,,2026-08-07,"PUB-0019 tab IV, quoting PUB-0038, whose author states he obtained the exact measurements from the director of the Musee gallo-romain de Tongres. Within-pair differences 0.2, 1.0, 2.0, 2.5, 3.0 and 4.0 mm. POSSIBLE BUT UNCONFIRMED MATCH to RD-0006, which is recorded from PUB-0004 as the Tongeren (Leopoldwal) specimen; PUB-0019 does not give a findspot, only the holding museum. If the museum holds more than one specimen this attribution is wrong. Recorded here with that caveat rather than as a new specimen, to avoid creating a duplicate"
186,RD-0006,EV004,Hole diameters range from 7.5 to 22.5 mm within the single object,D,PUB-0019,tab IV,,2026-08-07,Derived from the tab IV pair listing; same attribution caveat
187,RD-0005,EV025,"Found in situ in Trench 4 in June 2023 by a volunteer, without metal detector use, in what appears to be an excavated hole or quarry pit containing 4th century Roman pottery. Re-investigation in 2024 suggested the feature was a sand quarry pit whose fill contained bone, ceramic building material and 3rd century pottery",B,PUB-0042,excavation account,,2026-08-08,"EXCAVATOR-GRADE CONTEXT, replacing reliance on a newspaper article. CONFLICTS RECORDED: PUB-0003, 34 describes the feature as 'a large pit full of building debris 700 m east of a villa rustica' and this account calls it a sand quarry pit; PUB-0003 places the object on top of the pit, this account says in situ within it; and the pottery is given as 4th century in association but 3rd century in the fill. All readings preserved. The excavators also note the ceramic building material does not appear to originate from the Norton Disney villa, which weakens the association with the villa"
188,RD-0005,EV027,"Fill of the feature contained bone, ceramic building material and 3rd century pottery; 4th century Roman pottery is reported in association with the object",B,PUB-0042,excavation account,,2026-08-08,"No functional equipment of any kind was recovered with it - no poles, cordage tools, textile equipment, weapons or instruments"
189,RD-0005,EV029,Associated with 4th century pottery; deposition estimated at about 1700 years before the 2023 excavation; the pit fill contained 3rd century pottery,B,PUB-0042,excavation account,,2026-08-08,The 3rd-century fill and 4th-century association are not reconciled in the source and are recorded as stated
190,RD-0005,EV012,"Well cast, complete with no damage, in excellent condition; an example of very fine craftsmanship, finished to a high standard",B,PUB-0042,excavation account,,2026-08-08,Corroborates the batch-001 record from PUB-0008
191,RD-0005,EV018,Complete with no damage and in excellent condition,B,PUB-0042,excavation account,,2026-08-08,"IMPORTANT NEGATIVE: the best-preserved specimen in the database, recovered by excavation rather than from ploughsoil, shows no wear and no damage. This is the strongest single support for the corpus-level finding at EV017 and EV018, because it cannot be explained away as post-depositional loss of surface"
192,RD-0005,EV041,Complete and undamaged; no knob wear described,B,PUB-0042,excavation account,,2026-08-08,"NOT a positive statement that the knobs are unworn - the account was not written to answer that question, and no magnification was used. Recorded because RD-0005 is the specimen on which EV041 could most usefully be tested: excavated, complete, uncorroded and curated"
193,RD-0022,EV047,"No findspot of any kind. Known only from the named Henryk Klunder collection, Mainz, now in a private collection in Winterthur. Previously unpublished; published for the first time in 2025",B,PUB-0003,"34, 36",fig 4,2026-08-08,"THE LEAST SECURE SPECIMEN IN THE DATABASE, and one of only three with usable aperture measurements. Unprovenanced, privately held, and first published by a co-author who also maintains the reference catalogue. NO SUGGESTION OF INAUTHENTICITY IS MADE BY ANY SOURCE OR BY THIS PROJECT; the point is that the usual external checks - excavated context, independent publication, institutional custody - are all absent, so nothing corroborates it. It supplies the type 2a case in which all twelve faces are decorated, and one of the two apparent aperture duplicates"
194,RD-0035,EV047,"Collection piece with no known archaeological context, in the possession of the author who published it",B,PUB-0017,198,,2026-08-08,"Duval is a serious scholar publishing a considered method, and nothing impugns the object. But it is unexcavated and privately held, and it is the specimen that PARTLY REFUTES EV043 and that supplies the wear-appearance conflict at EV017. Two of this project's more consequential observations rest on an unprovenanced object"
195,RD-0034,EV047,Held by the Musee romain d'Avenches; find context not stated in the available source,C,PUB-0019,3.2,,2026-08-08,"Institutional custody, which is the best provenance among the measured specimens, but the findspot is not recorded in the source read and the measurements reach this project at one remove. It supplies the ONLY complete twelve-aperture dataset and the sole confirmation of EV043"
196,RD-0020,EV047,"Excavated in 1995 from a sealed destruction layer, published in a peer-reviewed excavation report, held by the Musee archeologique de Jublains",A,PUB-0010,"paras 41, 48",,2026-08-08,"THE ONLY SPECIMEN IN THE DATABASE WHOSE AUTHENTICITY IS SECURED BY CONTEXT. An object lifted from a stratified burnt layer by excavators cannot be a modern forgery. It is also, and not coincidentally, the specimen this project has most often had to fall back on"
197,RD-0034,EV043,"All twelve measured apertures are distinct: 26.5, 15.4, 18.3, 13.4, 10.4, 17.6, 24.2, 20.15, 8.7, 14.5, 20.6 and 14.2 mm. The closest pair differs by 0.3 mm (14.2 and 14.5)",C,PUB-0019,Appendix B tab B1,,2026-08-08,"THE ONLY SPECIMEN IN THE DATABASE WITH A COMPLETE APERTURE SET, and on it no two apertures are the same size. The 0.3 mm minimum separation EXCEEDS the maker's tolerance, which PUB-0019 assesses at below 0.2 mm from the same measurements - so the apertures are separated by more than the workshop's own precision limit. Whether that separation is deliberate or incidental is NOT determined by this observation"
198,RD-0035,EV043,"Diameters are duplicated: 22 mm on three faces, 20 mm on two and 14 mm on two. The engraved rings partly compensate - the two 14 mm apertures carry 4 and 6 fillets respectively - but the three 22 mm apertures are all recorded with 3 fillets",B,PUB-0017,200,fig 3,2026-08-08,"COUNTER-CASE TO RD-0034, and the reason this variable is worth having. Where diameter fails to distinguish two apertures, ring count does so for the 14 mm pair and does NOT for the 22 mm group. Duval's per-face diameters are on fig 3, which is not legible in the available scan, so this rests on his running text alone"
199,RD-0022,EV043,"Two of the four recorded apertures are given as 15 mm, in different opposed pairs (15/17 and 14/15)",B,PUB-0003,36,fig 4,2026-08-08,"WEAK: the source records only four apertures individually and gives the remaining eight as a range, and the figures are stated to the nearest 0.5 cm in places. An apparent duplicate at this resolution does not establish that two apertures were indistinguishable"
200,RD-0037,EV014,Ten faces decorated with concentric circles of varying size; two faces remain smooth,B,PUB-0044,ED 4271,,2026-08-08,"INDEPENDENT CORROBORATION OF THE TEN-OF-TWELVE RULE, from a museum record unconnected to PUB-0003, PUB-0010 or PUB-0017. Until now that rule rested on one corpus statement plus two specimens. This is the second source the evidence-base audit identified as missing"
201,RD-0037,EV046,"The museum records the height as 7.1 cm 'between the smooth faces', which implies the two undecorated faces lie opposite one another",B,PUB-0044,ED 4271,,2026-08-08,"INDEPENDENT CORROBORATION OF THE MARKED AXIS. The phrasing is the museum's own and was not written to make any point about orientation, which makes it good evidence. EV046 remains non-discriminating because it still describes the same physical feature as EV013; a second source removes the single-voice problem but not the double-counting one"
202,RD-0037,EV016,"Hollow cast, with the knobs attached by soldering",B,PUB-0044,ED 4271,,2026-08-08,"SECOND INDEPENDENT SOURCE FOR SOLDERED KNOBS, after PUB-0010 para 48 on the Jublains specimen. This weakens the conflict previously recorded against the PAS description of RD-0014 as cast in one piece: two institutional records now describe separately attached knobs"
203,RD-0037,EV001,"Height 7.1 cm between the smooth faces including the feet, 6.2 cm without the feet; width 8.2 cm; depth 8.5 cm",B,PUB-0044,ED 4271,,2026-08-08,The 6.2 / 7.1 / 8.2 / 8.5 cm spread on a single object is a further instance of the departure from regular geometry recorded at EV010
204,RD-0037,EV011,Bronze,B,PUB-0044,ED 4271,,2026-08-08,
205,RD-0037,EV025,"Provenance given as France (?), attributed to Gaul (?); purchased 1825 from the Durand collection",B,PUB-0044,ED 4271,,2026-08-08,Both queries are the museum's own. No findspot; an early-19th-century collection purchase
206,RD-0038,EV001,Height 7.5 cm,C,PUB-0045,,,2026-08-08,Via search-engine extract; the museum page returned HTTP 403
207,RD-0038,EV025,"Found at Elst, Overbetuwe, Gelderland; donated to the museum in November 1876",C,PUB-0045,,,2026-08-08,First Netherlands findspot in the database. The Netherlands is named in PUB-0010 among the countries of the known distribution but was unrepresented here
208,RD-0038,EV029,"Museum dating: Roman period, 1-300 AD",C,PUB-0045,,,2026-08-08,"CONFLICTS WITH EV029, which records the corpus window as c AD 200 to the late 4th century. Museum period ranges are commonly loose and this is recorded as a conflict, not as a correction to the corpus chronology"
209,RD-0039,EV025,"Findspot given by the museum as Reims (?), Marne; from the Joseph de Baye collection",C,PUB-0046,,,2026-08-08,The query is the museum's own
210,RD-0039,EV030,The Musee d'Archeologie nationale holds four dodecahedra,C,PUB-0046,,,2026-08-08,"RELEVANT TO EV030, which has no corpus observation. Four specimens in one institution is a collection fact, not a site fact, and does NOT bear on whether multiple specimens occur at one findspot. Recorded because three of those four are not yet in this database"
211,RD-0001,EV010,Each of the twelve faces is 38 mm in length and width; plate thickness 3 mm; knobs roughly 9 mm high and 9 to 10 mm in diameter; maximum diameter 82 mm,B,PUB-0006,BH-692011,,2026-08-08,"Full PAS record, supplied directly. Adds face dimensions and confirms the figures previously recorded. The record also states Preservation grade 2, method of manufacture Cast, completeness Complete, and flags the find as of note with potential for inclusion in Britannia"
212,RD-0001,EV007,All of the apertures have slightly bevelled rounded edges,B,PUB-0006,BH-692011,,2026-08-08,"FIRST OBSERVATION FOR EV007, which had none. Bears on prediction P-0005, which expects bevelled rather than square-cut lips"
213,RD-0001,EV029,"Dated by the recorder to the Roman period as a whole, AD 43-410",B,PUB-0006,BH-692011,,2026-08-08,"A default period range for an unstratified detector find, not an independent dating. It should not be read as widening the corpus window recorded at EV029"
214,RD-0015,EV029,Dated by the aggregator record to AD 301-399,C,PUB-0047,I.7108,,2026-08-08,FIRST DATING FOR THIS SPECIMEN. Consistent with the corpus window
215,RD-0015,EV011,Material given as lead and bronze,C,PUB-0047,I.7108,,2026-08-08,"Corroborates the PUB-0011 record and, with the 18 per cent lead measured on RD-0005, supports the reading of the alloy as a casting alloy rather than a structural bronze"
216,RD-0038,EV004,"Each face carries one hole, and the holes are of differing size; knobs at the intersections",B,PUB-0045,,,2026-08-08,The museum's own description. Independent corroboration of the one-aperture-per-face rule and of size variation within an object
217,RD-0038,EV047,"Found at Elst; catalogued as Guggenberger no 75, type 2a, year of discovery 1875; donated to the museum in November 1876; inventory number ENc",B,PUB-0023,no 75,,2026-08-08,Provenance secured by two independent records agreeing on findspot and date: the reference catalogue gives discovery in 1875 and the museum gives donation in November 1876
218,RD-0040,EV014,"Rings are engraved as a group at the PERIPHERY of each face, close to the pentagon edges, with a broad plain annulus between the aperture and the innermost ring. Counted from the photograph, faces with larger apertures carry fewer rings, about two, and faces with smaller apertures carry more, about three to four. The uppermost face in the image appears plain",D,PUB-0048,,Europeana 325/HCM157,2026-08-09,"COUNTED FROM A PHOTOGRAPH at oblique angles; the counts are approximate and the faces away from the camera cannot be read at all. Two points are nonetheless legible. The rings are placed relative to the FACE EDGE rather than packed outward from the aperture, which is what EXP-0005 predicts if the engraver works inward from the geometric limit. And the inverse relation between aperture size and ring count follows the Vienne rule (RD-0035) rather than the constant count of Jublains (RD-0020). The apparently plain uppermost face is consistent with the undecorated opposed pair, but only one of the two is visible so this cannot be confirmed"
219,RD-0040,EV041,"Bright, unpatinated yellow metal is exposed on the crown of every visible knob, against a dark green-brown patina covering all faces, recesses and engraved rings. The exposure is confined to the outermost point of each knob and is consistent across all knobs regardless of their orientation in the photograph",D,PUB-0048,,Europeana 325/HCM157,2026-08-09,"OBSERVED FROM A PHOTOGRAPH, NOT FROM THE OBJECT, AND BY A NON-SPECIALIST. What is certain is that patina has been lost preferentially from the high points. What that means is NOT settled by the image, and the most economical explanation is not ancient use. PATINA FORMS DURING BURIAL. Wear inflicted in antiquity, before deposition, would have been covered by burial patina and would not be bright today. Bright metal therefore indicates patina removed AFTER excavation - by cleaning, polishing, mounting or handling. This is a collection piece with no findspot, acquired before 1985, which is precisely the class of object that gets polished. THE COUNTER-ARGUMENT, which the image cannot settle: wear leaves a SHAPE signature as well as a colour one. Flattening or facetting of the knob crowns beyond their cast form would survive burial and repatination and could not be produced by dusting. Several crowns appear broad and flat in the image, but that cannot be separated from casting form and lighting at this resolution. WHAT WOULD SETTLE IT: whether any polish is directional, whether it cuts through corrosion products or underlies them, and whether the crown profile departs from the cast form of the unworn knobs"
220,RD-0001,EV041,In six published views the knobs are covered by the same mid-green corrosion and pale mineral encrustation as the rest of the object; no bright metal is exposed anywhere. Reddish cuprite shows where the outer layer has been lost on several knobs,D,PUB-0006,BH-692011,docs/sources/Roman dodecahedron.jpg,2026-08-09,"OBSERVED FROM PHOTOGRAPHS. THE CONTROL CASE, and the reason the RD-0040 image is worth recording at all. This specimen is a ploughsoil metal-detector find that has not been polished, and its knobs are indistinguishable in surface condition from its faces. The contrast with RD-0040 shows that bright knob crowns are not simply how a bronze dodecahedron looks, but it equally shows what an uncleaned specimen looks like - which is the state in which the microwear question must be asked. NOTE the tension with the PAS record's own wording for this object, which reports 'several areas of abrasion around the base of most knops': at photographic resolution that abrasion is not distinguishable from the general corrosion and plough damage the same record describes"
221,RD-0001,EV041,Abrasion present around the base of most knobs,B,PUB-0006,BH-692011,,2026-08-08,"THE ONLY POSITIVE KNOB-WEAR RECORD IN THE CORPUS, and the reason EV041 was created. The corpus-wide statement that the surfaces generally do not look worn (PUB-0003, 45) was made about faces and interiors; it does not address the knobs and their necks. Whether this abrasion is use wear or post-depositional damage is NOT determined - the same record describes several faces as pitted or gouged and the patina as patchy, which points to ploughing and corrosion. Recorded as an open question, not as evidence of use"
222,RD-0002,EV041,One knob broken off and retained loose; remaining knobs intact; no wear described,B,PUB-0006,YORYM-41CD72,,2026-08-08,Absence of a wear description is not a negative observation; the PAS record was not made to answer this question
223,RD-0013,EV041,"Knob diameters 14.28, 13.92, 13.46 and 14.01 mm across four fragments; no wear or asymmetry described",B,PUB-0006,LIN-8BA9C4,,2026-08-08,"Recorded because closely matched knob diameters across fragments of one object bear on EV009 and would also bear on differential wear, had any been described"
224,RD-0029,EV025,"One of the best British examples is in the Society of Antiquaries collection, from Carmarthen",B,PUB-0016,273,,2026-08-07,"Corroborates the SAL photograph credit in PUB-0003, 35 fig 3. The same note records that a further Welsh dodecahedron was communicated on 12 March 1846 by the Rev Edward Harries of Llandysilio and is no 41 in de Saint-Venant's list; only the first page of the note is available, so that specimen is NOT matched to an RD_ID"
